Oscar Mercado
Ernie Clement
Jeter Downs
Tim Locastro
Luis Arraez
Ildemaro Vargas
Adam Haseley
Sam Haggerty
Luis Campusano
Nick Gordon
Tony Kemp
Pablo Reyes
Keibert Ruiz
Brett Phillips
Omar Narvaez
Santiago Espinal
Alejandro Kirk
Miguel Andujar
Johan Camargo
Hanser Alberto
David Dahl
Wilmer Flores
Nicky Lopez
Nick Madrigal
Willie Calhoun
Ryan McKenna
Matt Beaty
Andrew Velazquez
Travis Jankowski
Miguel Rojas
Jonathan Schoop
Jeff McNeil
Jorge Alfaro
Austin Nola
Adam Frazier
Cristian Pache
Garrett Hampson
Tyrone Taylor
Brad Miller
Jason Heyward
Jose Trevino
Curt Casali
Jake Marisnick
Andy Ibanez
Sam Hilliard
Bobby Dalbec
Vidal Brujan
DJ Stewart
Alex Bregman
Danny Mendick
Anthony Rendon
Whit Merrifield
Steven Kwan
Raimel Tapia
Jean Segura
Tyler Freeman
Austin Slater
Lars Nootbaar
Michael Chavis
Carson Kelly
Amed Rosario
Mauricio Dubon
Josh Naylor
Zach McKinstry
Clint Frazier
Charlie Blackmon
Kevin Newman
George Springer
Wander Franco
Nico Hoerner
Mark Canha
Manuel Margot
Ke'Bryan Hayes
Enrique Hernandez
Jesus Sanchez
Adley Rutschman
Edmundo Sosa
Jon Berti
Alek Thomas
Kyle Tucker
Willi Castro
Jose Altuve
Zack Short
Myles Straw
Stuart Fairchild
David Fletcher
Carlos Perez
Carlos Perez
Owen Miller
Yonathan Daza
Tyler Wade
Cody Bellinger
Rougned Odor
Harold Ramirez
Matt Duffy
Jake McCarthy
Corey Dickerson
Marcus Semien
Dylan Carlson
Jake Fraley
Gavin Sheets
Jorge Mateo
Tommy Edman
Emmanuel Rivera
Aledmys Diaz
Josh Harrison
Vladimir Guerrero Jr.
Nick Maton
Eli White
Greg Allen
Ben Gamel
Tommy La Stella
Joc Pederson
David Peralta
Blake Rutherford
Leody Taveras
Taylor Walls
Anthony Bemboom
C.J. Cron
Isiah Kiner-Falefa
Luke Maile
Francisco Mejia
Chadwick Tromp
Jesse Winker
Mookie Betts
Javier Baez
Joey Wendle
Tommy Pham
DJ LeMahieu
Christian Arroyo
Isaac Paredes
Luis Rengifo
Bo Bichette
Eddie Rosario
Michael Conforto
Gleyber Torres
Victor Robles
Bryson Stott
Austin Hedges
Harrison Bader
Ozzie Albies
Eduardo Escobar
Kyle Isbel
Gabriel Moreno
Andres Gimenez
Andrew Benintendi
Ty France
Daulton Varsho
Brandon Lowe
Kevin Kiermaier
Harold Castro
Juan Yepez
Elvis Andrus
Jake Cronenworth
Christian Yelich
Mike Tauchman
Jackie Bradley Jr.
Austin Barnes
Luis Guillorme
Xander Bogaerts
Nick Senzel
Yandy Diaz
Yan Gomes
Heliot Ramos
Cam Gallagher
Kyle Higashioka
Jurickson Profar
Ha-Seong Kim
Manny Machado
Connor Joe
Ketel Marte
Orlando Arcia
Gary Sanchez
Kris Bryant
Aaron Hicks
Seiya Suzuki
Akil Baddoo
Brandon Crawford
Drew Ellis
Jose Siri
Kevin Smith
Jordan Luplow
Donovan Solano
CJ Abrams
Ryan O'Hearn
Kevin Pillar
Justin Turner
Trea Turner
Eloy Jimenez
Rodolfo Castro
Jarren Duran
Nolan Arenado
Ryan Mountcastle
Alex Kirilloff
Francisco Lindor
Alec Bohm
Bobby Witt Jr.
Danny Jansen
Jeimer Candelario
Brandon Drury
Jake Cave
Christian Walker
Seby Zavala
Salvador Perez
Jonah Heim
Taylor Ward
Garrett Stubbs
Robbie Grossman
Billy McKinney
Tomas Nido
Yasmani Grandal
Edward Olivares
Matt Thaiss
Yordan Alvarez
Alex Verdugo
Freddie Freeman
Pete Alonso
Brandon Marsh
Pavin Smith
Jace Peterson
Brandon Dixon
Eric Hosmer
Riley Adams
Rowdy Tellez
Cavan Biggio
Miguel Cabrera
Tom Murphy
Kyle Farmer
Jose Miranda
Anthony Santander
Matt Vierling
Rafael Devers
Christian Vazquez
Darin Ruf
Rafael Ortega
Jacob Stallings
Anthony Rizzo
Tyler Stephenson
Nick Ahmed
Josh Bell
Mike Ford
Ramon Urias
Eric Haase
Giancarlo Stanton
Ian Happ
Luis Urias
Nick Castellanos
Kolten Wong
Carlos Santana
Mitch Garver
Max Kepler
Nelson Cruz
Paul Goldschmidt
Ramon Laureano
Victor Caratini
Nolan Gorman
Randal Grichuk
Cedric Mullins
Josh Rojas
Starling Marte
Jose Abreu
Mike Moustakas
Elias Diaz
Willson Contreras
Franmil Reyes
Brendan Rodgers
Jonathan India
Bryan Reynolds
Luke Williams
Jose Barrero
Joey Bart
Avisail Garcia
Tyler Heineman
Jared Walsh
J.P. Crawford
Josh Lowe
Austin Meadows
Brandon Nimmo
Corey Seager
Chris Taylor
Forrest Wall
Mike Yastrzemski
Fernando Tatis Jr.
Sean Murphy
Juan Soto
Thairo Estrada
Bryce Harper
Dylan Moore
Max Muncy
Reese McGuire
Patrick Wisdom
Cal Raleigh
Mike Trout
Mike Zunino
Andrew Vaughn
Jake Burger
Paul DeJong
Luke Raley
Austin Hays
Trent Grisham
Evan Longoria
Marcell Ozuna
Joey Gallo
Matt Carpenter
William Contreras
Luis Torrens
Randy Arozarena
Sam Huff
Julio Rodriguez
Ryan McMahon
Jorge Soler
Brandon Belt
Aaron Judge
Andrew McCutchen
Spencer Torkelson
Jarred Kelenic
Christian Bethancourt
Mitch Haniger
Hunter Renfroe
Seth Brown
Ryan Jeffers
Nolan Jones
Chad Wallach
Carlos Correa
Dansby Swanson
Taylor Motter
Yoan Moncada
Derek Hill
Kyle Lewis
Jesus Aguilar
J.D. Davis
Martin Maldonado
Trey Mancini
Trevor Story
Brian Anderson
Chas McCormick
Luke Voit
Austin Riley
Kyle Schwarber
J.T. Realmuto
Willy Adames
Matt Chapman
Jonathan Davis
Austin Wynns
Bryan De La Cruz
Adam Duvall
Triston Casas
Royce Lewis
Brent Rooker
Lane Thomas
Tucker Barnhart
Teoscar Hernandez
Byron Buxton
Tyler O'Neill
MJ Melendez
Matt Olson
Tim Anderson
Kole Calhoun
Kyle Garlick
Hunter Dozier
Trevor Larnach
Garrett Cooper
Jake Rogers
Drew Waters
Adolis Garcia
Jake Bauers
Edwin Rios
Franchy Cordero
Josh Jung
Taylor Trammell
Jonathan Arauz
Sandy Leon
Jorge Polanco
Wil Myers
Josh Donaldson
Nick Pratto
J.D. Martinez
Joey Votto
Yu Chang
Trayce Thompson
Eugenio Suarez
Abraham Almonte
Isan Diaz
Jo Adell
Roberto Perez
Manny Pina
Abraham Toro
Cole Tucker
Jason Vosler
Oneil Cruz
Mickey Moniak
Chris Owings
Michael Perez
