Name,BR ID,Hit streaks (old to new),No hit streaks (old to new),Avg. hit streak-length,Avg. no-hit streak-length,Current hit streak type,Current hit streak,Strikeout streaks (old to new),No strikeout streaks (old to new),Avg. strikeout streak length,Avg. no strikeout streak length,Current strikeout streak type,Current strikeout streak,Exception Message
Oscar Mercado,mercaos01,"[1, 4]","[1, 2, 12]",2.5,5.0,dry streak,12,"[2, 1]","[7, 1, 9]",1.5,5.666666666666667,no strikeout streak,9,
Ernie Clement,clemeer01,"[1, 1, 1, 2, 5, 2, 1]","[2, 1, 5, 1, 1, 4, 2]",1.8571428571428572,2.2857142857142856,dry streak,2,"[1, 2, 1]","[1, 10, 5, 9]",1.3333333333333333,6.25,no strikeout streak,9,
Jeter Downs,downsje01,[2],"[3, 1]",2.0,2.0,dry streak,1,[1],[5],1.0,5.0,no strikeout streak,5,
Tim Locastro,locasti01,"[2, 1, 1, 3, 1]","[16, 6, 3, 2, 3]",1.6,6.0,hit streak,1,"[1, 1, 1, 1, 1, 2, 2]","[6, 4, 5, 3, 2, 2, 5, 2]",1.2857142857142858,3.625,no strikeout streak,2,
Luis Arraez,arraelu01,"[5, 7, 5, 12, 4, 2, 1, 7, 8, 11, 9, 1, 3, 2, 3, 7, 1, 3, 3, 4, 9, 9, 1]","[2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1]",5.086956521739131,1.3181818181818181,hit streak,1,"[1, 2, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2]","[4, 5, 8, 6, 2, 13, 4, 6, 1, 9, 2, 3, 2, 4, 1, 4, 2, 4, 1, 6, 7, 4, 6, 10]",1.3333333333333333,4.75,no strikeout streak,10,
Ildemaro Vargas,vargail01,"[1, 4, 2, 2, 1, 1, 1, 8, 2, 2, 1, 4, 1, 1, 1, 4, 1, 6, 1, 4]","[2, 4, 1, 1, 1, 1, 2, 2, 4, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1]",2.4,1.7,hit streak,4,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 10, 9, 5, 3, 4, 2, 4, 1, 1, 13, 2, 6, 3, 1]",1.0714285714285714,4.466666666666667,no strikeout streak,1,
Adam Haseley,haselad01,"[1, 1, 1, 1]","[3, 2, 4, 1, 14]",1.0,4.8,dry streak,14,"[1, 2, 3, 1]","[2, 2, 7, 3, 7]",1.75,4.2,no strikeout streak,7,
Sam Haggerty,haggesa01,"[2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 4, 1]","[3, 8, 1, 2, 2, 4, 1, 2, 1, 1, 1, 3]",1.5833333333333333,2.4166666666666665,hit streak,1,"[1, 2, 1, 1, 2, 1, 2, 1]","[7, 1, 1, 1, 4, 15, 3, 4, 1]",1.375,4.111111111111111,no strikeout streak,1,
Luis Campusano,campulu01,"[1, 1, 2, 5, 1, 4, 1, 1, 3, 1, 2, 3, 6]","[2, 2, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1]",2.3846153846153846,1.5,hit streak,6,"[3, 1, 1, 2, 1, 2, 1, 3, 1, 1]","[2, 6, 2, 4, 6, 3, 1, 2, 1, 6]",1.6,3.3,no strikeout streak,6,
Nick Gordon,gordoni01,"[1, 1, 1, 1, 5, 2, 1, 2]","[3, 2, 2, 5, 2, 3, 1, 1, 1]",1.75,2.2222222222222223,dry streak,1,"[2, 1, 3, 1, 2, 1]","[10, 4, 6, 1, 2, 1]",1.6666666666666667,4.0,strikeout streak,1,
Tony Kemp,kempto01,"[1, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 6, 3, 4, 1, 7, 1, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1]","[2, 1, 1, 6, 1, 2, 1, 1, 1, 6, 1, 12, 1, 2, 1, 1, 1, 3, 1, 6, 2, 1, 5, 5, 1, 2, 1, 3]",1.8928571428571428,2.5357142857142856,dry streak,3,"[1, 1, 1, 3, 1, 1, 3, 1, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1]","[1, 2, 1, 1, 6, 1, 3, 3, 6, 10, 4, 9, 2, 2, 7, 9, 3, 6, 1, 6, 2, 2, 2]",1.4583333333333333,3.869565217391304,strikeout streak,1,
